title	anidb	anilist	animenewsnetwork	animeplanet	anisearch	annict	imdb	kaize	kaize_id	kitsu	livechart	myanimelist	nautiljon	nautiljon_id	notify	otakotaku	shikimori	shoboi	silveryasha	simkl	themoviedb	trakt	trakt_type	trakt_season
Zanki	18480	155884		zutomayo-zanki				zanki	22188	46646		53405					53405			2369080				
Zankoku na Tenshi no These					13722																			
Zankyou no Terror	10537	20661	15974	terror-in-resonance	9535	4121		zankyou-no-terror	3681	8342	478	23283	zankyou+no+terror	3175	zcqTpFimR	678	23283	3475	1983	48922		60899	shows	1
Zanmai										48116		55276					55276							
Zannen Chuukounen no Kenkou Mie Kouza	12221				11542															592651				
Zannen na Ikimono Jiten	14166	126843	23986	zannen-na-ikimono-no-jiten	13693	6209				41881	3347	38016	zannen+na+ikimono+jiten	9002			38016	5025		856909				
Zannen na Ikimono Jiten (2019)	15082	128738	23989	zannen-na-ikimono-no-jiten-2019	15982	7811		zannen-na-ikimono-jiten-2019	19618		9549	44026					44026	5401		1162107				
Zannen na Ikimono Jiten (2021)	16024	130439	23987	zannen-na-ikimono-no-jiten-2021	15992	7896		zannen-na-ikimono-jiten-2021			10389	52052					52052	5913		1535337				
Zannen na Ikimono Jiten (2022)	17202			zannen-na-ikimono-jiten-2022	17115	9326		zannen-na-ikimono-jiten-2022	19620			52053					52053	6271		1850058				
Zannen na Ikimono Jiten (Special)		128739	23988	zannen-na-ikimono-no-jiten-specials				zannen-na-ikimono-jiten-special	19621		9253	39430	zannen+na+ikimono+jiten+special	9001			39430							
Zannen na Ikimono Jiten the Movie	16252	132804		zannen-na-ikimono-no-jiten-movie	16245	8462		zannen-na-ikimono-jiten-the-movie	5424		10527	49843					49843			1613163		798925	movies	
Zannen Onna Kanbu Black General-san	13024	98518	19843	precarious-woman-executive-miss-black-general	12690	6839		zannen-onna-kanbu-black-general-san	19622	13610	2613	35230	zannen+onna+kanbu+black+general-san	6749	vpA42KmiR		35230			671283				
Zanshou to Hanamuke					20725																			
Zanting! Rang Wo Cha Gonglue	17425	141882		let-me-check-the-walkthrough-first	17371	11044		zanting-rang-wo-cha-gonglue	19623	46259	12279	50571			_-_CZ4GSg		50571	6818	4133	1917136				
Zanting! Zhi Xu Chongzu	18997	185722		zanting-zhi-xu-chongzu						49510		60297			5BaDg_NNR		60297			2640314				
Zao Wang Chuan				zao-wang-chuan	20384							61042			3mzPCZxNg		61042							
Zap Cat		121677		zap-cat				zap-cat	19624	44856		42281					42281							
zap dog				zap-dog																				
Zaseki reset												58871					58871							
Zashiki Warashi no Tatami-chan	15365	114891	22991	the-house-spirit-tatami-chan	15151	7380		zashiki-warashi-no-tatami-chan	19625	43115	9778	41124	zashiki+warashi+no+tatami-chan	9445	xVR8Jb8Wg		41124		975	1248285		159923	shows	1
Zassou-kun		123348		b-dash-zassou-kun				zassou-kun	19626			51812					51812							
Zatch Bell			2290																					
Zatsu Tabi: That's Journey	18046	165445	28365	zatsutabi-thats-journey	18429	10882		zatsu-tabi-thats-journey	25218	47504	12068	55514	zatsu+tabi+-+that-s+journey	11923	U-oLGNlVg	2846	55514	7380	5495	2174426		240581	shows	1
Zawazawa	11702	102768		zawazawa	11967			zawazawa	19627	11679		31832			arn3tFmmR		31832			1572901				
Zdravstvuite!	13603	106561		zdravstvuite	13041			zdravstvuite	19628	44776		49182					49182			742955				
